phi1,PHI,phi2
0,0,0
3.43464e-34,0,0
3.12212e-26,0,0
4.53464e-25,0,0
1.38047e-24,0,0
1.81905e-24,0,0
1.92579e-24,0,0
1.97511e-24,0,0
2.33051e-24,0,0
2.7385e-24,0,0
2.60924e-24,0,0
1.75112e-24,0,0
6.83755e-25,0,0
-3.50138e-25,0,0
-1.55543e-24,0,0
-2.84372e-24,0,0
-3.88033e-24,0,0
-4.82877e-24,0,0
-6.12869e-24,0,0
-7.80261e-24,0,0
-8.91539e-24,0,0
-9.98289e-24,0,0
-1.09988e-23,0,0
-1.1545e-23,0,0
-1.1524e-23,0,0
-1.14144e-23,0,0
-1.11008e-23,0,0
-1.08347e-23,0,0
-9.89496e-24,0,0
-9.23096e-24,0,0
-8.98419e-24,0,0
-8.07327e-24,0,0
-6.90239e-24,0,0
-5.34786e-24,0,0
-3.40266e-24,0,0
-8.12154e-25,0,0
2.2169e-24,0,0
5.34071e-24,0,0
8.19579e-24,0,0
1.11603e-23,0,0
1.43347e-23,0,0
1.74944e-23,0,0
2.09042e-23,0,0
2.51236e-23,0,0
3.01373e-23,0,0
3.54569e-23,0,0
4.09164e-23,0,0
4.67021e-23,0,0
5.27639e-23,0,0
5.95582e-23,0,0
6.64631e-23,0,0
7.41401e-23,0,0
8.25934e-23,0,0
9.09837e-23,0,0
9.96923e-23,0,0
1.08308e-22,0,0
1.17481e-22,0,0
1.26649e-22,0,0
1.35885e-22,0,0
1.45054e-22,0,0
1.54337e-22,0,0
1.63373e-22,0,0
1.72513e-22,0,0
1.81565e-22,0,0
1.90918e-22,0,0
2.00011e-22,0,0
2.08364e-22,0,0
2.16845e-22,0,0
2.26138e-22,0,0
2.3515e-22,0,0
2.43989e-22,0,0
2.53132e-22,0,0
2.6241e-22,0,0
2.7225e-22,0,0
2.82892e-22,0,0
2.93631e-22,0,0
3.03803e-22,0,0
3.14305e-22,0,0
3.24744e-22,0,0
3.34998e-22,0,0
3.45638e-22,0,0
3.55965e-22,0,0
3.65905e-22,0,0
3.75989e-22,0,0
3.86403e-22,0,0
3.97938e-22,0,0
4.10369e-22,0,0
4.23389e-22,0,0
4.36886e-22,0,0
4.50164e-22,0,0
4.64628e-22,0,0
4.79846e-22,0,0
4.95277e-22,0,0
5.11077e-22,0,0
5.27136e-22,0,0
5.43334e-22,0,0
5.59318e-22,0,0
5.75869e-22,0,0
5.92766e-22,0,0
6.10065e-22,0,0
6.26516e-22,0,0
6.42187e-22,0,0
6.58301e-22,0,0
6.74228e-22,0,0
6.898e-22,0,0
7.05662e-22,0,0
7.22144e-22,0,0
7.39245e-22,0,0
7.56088e-22,0,0
7.73177e-22,0,0
7.90964e-22,0,0
8.09236e-22,0,0
8.28115e-22,0,0
8.46562e-22,0,0
8.64925e-22,0,0
8.84118e-22,0,0
9.04123e-22,0,0
9.24668e-22,0,0
9.44866e-22,0,0
9.65376e-22,0,0
9.86175e-22,0,0
1.00722e-21,0,0
1.02847e-21,0,0
1.04924e-21,0,0
1.06918e-21,0,0
1.08922e-21,0,0
1.10977e-21,0,0
1.13042e-21,0,0
1.15173e-21,0,0
1.17367e-21,0,0
1.1959e-21,0,0
1.21894e-21,0,0
1.24321e-21,0,0
1.26818e-21,0,0
1.2941e-21,0,0
1.32077e-21,0,0
1.34866e-21,0,0
1.37677e-21,0,0
1.4048e-21,0,0
1.43207e-21,0,0
1.45864e-21,0,0
1.48508e-21,0,0
1.51107e-21,0,0
1.53743e-21,0,0
1.56422e-21,0,0
1.59127e-21,0,0
1.619e-21,0,0
1.6466e-21,0,0
1.67416e-21,0,0
1.70223e-21,0,0
1.7306e-21,0,0
1.75926e-21,0,0
1.78844e-21,0,0
1.81752e-21,0,0
1.84606e-21,0,0
1.87384e-21,0,0
1.9021e-21,0,0
1.93075e-21,0,0
1.96059e-21,0,0
1.99107e-21,0,0
2.02192e-21,0,0
2.05318e-21,0,0
2.08346e-21,0,0
2.11296e-21,0,0
2.14189e-21,0,0
2.17079e-21,0,0
2.19939e-21,0,0
2.2278e-21,0,0
2.25584e-21,0,0
2.28387e-21,0,0
2.31178e-21,0,0
2.33866e-21,0,0
2.36503e-21,0,0
2.39135e-21,0,0
2.41782e-21,0,0
2.44456e-21,0,0
2.47175e-21,0,0
2.49913e-21,0,0
2.52612e-21,0,0
2.55294e-21,0,0
2.57935e-21,0,0
2.60593e-21,0,0
2.6326e-21,0,0
2.65976e-21,0,0
2.68836e-21,0,0
2.71679e-21,0,0
2.74492e-21,0,0
2.77332e-21,0,0
2.80247e-21,0,0
2.83172e-21,0,0
2.86142e-21,0,0
2.89089e-21,0,0
2.92107e-21,0,0
2.95091e-21,0,0
2.98055e-21,0,0
3.01072e-21,0,0
3.04091e-21,0,0
3.07154e-21,0,0
3.10205e-21,0,0
3.13285e-21,0,0
3.16386e-21,0,0
